user = john.carnell, sessionId = D90CA176C71C712E9B0A3496C2C0AB96 ,  2019-07-30T10:42:46.673+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = D90CA176C71C712E9B0A3496C2C0AB96 ,  2019-07-30T10:42:46.679+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
,  ,  2019-07-31T08:32:37.041+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
,  ,  2019-07-31T09:52:02.254+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
,  ,  2019-08-01T15:47:22.110+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
,  ,  2019-08-02T10:57:40.836+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
,  ,  2019-08-02T14:20:26.565+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
user = john.carnell, sessionId = B60FE3055F60D11EEB64F333D6B7925A ,  2019-08-02T14:32:58.375+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = B60FE3055F60D11EEB64F333D6B7925A ,  2019-08-02T14:32:58.434+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = C7B4293341BD97445C2D8DE5A5CEBBF0 ,  2019-08-02T14:33:00.766+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = C7B4293341BD97445C2D8DE5A5CEBBF0 ,  2019-08-02T14:33:00.791+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 200934CC3F092F702121A4FD461B7A7E ,  2019-08-02T14:33:05.857+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 200934CC3F092F702121A4FD461B7A7E ,  2019-08-02T14:33:05.861+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 9CA283DAAEDF2F4D0F9D63E7B23ED46D ,  2019-08-02T14:33:07.710+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 9CA283DAAEDF2F4D0F9D63E7B23ED46D ,  2019-08-02T14:33:07.715+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = F133D60EC6D2CEC52ACCE1706AD8A46D ,  2019-08-02T14:33:07.827+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = F133D60EC6D2CEC52ACCE1706AD8A46D ,  2019-08-02T14:33:07.865+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = C064D49E90C1EEAABC9EF97E8B4CE620 ,  2019-08-02T14:33:09.342+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetController.getBasicAssetDetailByTenant , INFO ,  Request received in controller to get basic asset detail by tenant uuid. TenantUUID: FMS-0RG-001001
user = john.carnell, sessionId = C064D49E90C1EEAABC9EF97E8B4CE620 ,  2019-08-02T14:33:09.344+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetService.getBasicAssetDetailByTenant , INFO ,  Basic detail of asset got successfully
