user = john.carnell, sessionId = FCBA63288362F00068D9ACA9FA86CB4D ,  2019-08-03T17:28:25.718+0500 , http-nio-8197-exec-5 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = FCBA63288362F00068D9ACA9FA86CB4D ,  2019-08-03T17:28:25.731+0500 , http-nio-8197-exec-5 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
,  ,  2019-08-05T15:03:03.220+0500 , main , com.sharklabs.inspections.InspectionsApplication.main , INFO ,  ******* Inspection Service has started *********
user = john.carnell, sessionId = 40D5BD3D404608339A93E478C742BC15 ,  2019-08-05T15:03:17.241+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 40D5BD3D404608339A93E478C742BC15 ,  2019-08-05T15:03:17.401+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = 8465DCDC0F3CDFBC7ED8B2AB75EF4EF9 ,  2019-08-05T15:03:17.561+0500 , http-nio-8197-exec-3 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 8465DCDC0F3CDFBC7ED8B2AB75EF4EF9 ,  2019-08-05T15:03:17.580+0500 , http-nio-8197-exec-3 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = 386BB5D159F111652C0629148C8853A2 ,  2019-08-05T15:03:56.603+0500 , http-nio-8197-exec-5 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 386BB5D159F111652C0629148C8853A2 ,  2019-08-05T15:03:56.647+0500 , http-nio-8197-exec-5 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = 4FA1EF941632B8E6C2C28D7C6DA6B03E ,  2019-08-05T15:03:56.852+0500 , http-nio-8197-exec-6 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 4FA1EF941632B8E6C2C28D7C6DA6B03E ,  2019-08-05T15:03:56.891+0500 , http-nio-8197-exec-6 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = F8B22D9DCE75E8ED8BFC3BB45D23F81F ,  2019-08-05T15:05:41.851+0500 , http-nio-8197-exec-9 , com.sharklabs.inspections.api.InspectionController.filterIssuesByAsset , INFO ,  Request received in controller to filter issues by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = F8B22D9DCE75E8ED8BFC3BB45D23F81F ,  2019-08-05T15:05:41.929+0500 , http-nio-8197-exec-9 , com.sharklabs.inspections.api.InspectionService.filterIssuesByAsset , INFO ,  Issues Filtered Successfully by asset uuid. AssetUUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = 4B3800ECA98636E569678A8E626526B5 ,  2019-08-05T15:06:04.803+0500 , http-nio-8197-exec-7 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = 4B3800ECA98636E569678A8E626526B5 ,  2019-08-05T15:06:04.815+0500 , http-nio-8197-exec-7 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
user = john.carnell, sessionId = 0D19675A7C48315A29545CA65D603EFB ,  2019-08-05T15:06:04.831+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = 0D19675A7C48315A29545CA65D603EFB ,  2019-08-05T15:06:04.834+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
user = john.carnell, sessionId = 9296306A5654E7221A99D977383E1012 ,  2019-08-05T15:06:04.847+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = 9296306A5654E7221A99D977383E1012 ,  2019-08-05T15:06:04.850+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
